"Player","Team","Positions","IP","K","W","L","ERA","WHIP","ER","H","BB","HR","G","GS","QS","CG","Rost%"
"Adam Macko","TOR","SP","14.0","12","1","1","4.73","1.40","7","14","6","2","5","3","1","0","0%"
"Carlos Carrasco","NYY","SP","37.2","31","2","2","4.80","1.40","20","40","12","6","15","5","2","0","0%"
"Bruce Zimmermann","MIL","SP,RP","8.7","8","0","0","4.41","1.31","4","9","2","1","5","0","0","0","0%"
"Sam Bachman","LAA","SP","33.4","26","2","2","4.64","1.44","17","33","15","4","30","0","0","0","0%"
"Royber Salinas","ATL","SP","14.9","16","1","1","5.26","1.76","9","13","13","2","14","0","0","0","0%"
"Josh Fleming","SEA","RP","18.1","11","1","1","4.21","1.35","8","19","5","2","12","0","0","0","0%"
"Gordon Graceffo","STL","SP","40.4","29","2","2","4.53","1.36","20","42","13","5","29","2","1","0","0%"
"Luinder Avila","KC","","18.4","14","1","1","4.65","1.46","10","19","8","2","18","0","0","0","0%"
"Chris Flexen","CHC","SP","20.9","17","1","1","4.68","1.41","11","22","7","3","13","1","0","0","0%"
"Jimmy Lambert","","SP","15.3","15","1","1","5.11","1.50","9","15","8","3","13","0","0","0","0%"
"Xzavion Curry","MIA","SP,RP","24.3","18","1","2","4.94","1.38","13","26","8","5","19","1","0","0","0%"
"Justin Dunn","CWS","SP","16.7","14","0","1","5.09","1.45","9","17","7","3","14","0","0","0","0%"
"Wikelman Gonzalez","CWS","SP","7.3","6","0","1","5.28","1.51","4","7","4","1","2","2","1","0","0%"
"Connor Gillispie","MIA","SP,RP","37.5","32","2","2","4.64","1.39","19","37","15","6","33","0","0","0","0%"
"Cole Irvin","","SP,RP","45.8","32","2","3","4.70","1.35","24","50","12","8","10","8","3","0","0%"
"Casey Lawrence","SEA","SP","11.0","7","1","1","4.91","1.36","6","12","3","2","11","0","0","0","0%"
"Dane Acker","TEX","SP,RP","9.9","8","0","1","4.97","1.44","5","10","4","1","4","2","1","0","0%"
"Noah Syndergaard","","SP","39.1","27","2","3","4.75","1.32","21","42","9","7","7","7","3","0","0%"
"Jesse Scholtens","CWS","SP,RP","8.8","7","0","1","5.41","1.52","5","10","4","2","2","2","0","0","0%"
"Jack O'Loughlin","COL","SP,RP","12.0","9","0","1","5.48","1.64","7","14","6","2","8","1","0","0","0%"
"Ky Bush","CWS","SP","10.1","8","0","1","4.87","1.52","5","10","5","2","3","2","1","0","0%"
"Gabriel Hughes","COL","SP","18.1","16","1","1","4.69","1.44","9","19","7","3","17","0","0","0","0%"
"Ross Stripling","KC","SP,RP","24.9","17","1","1","4.71","1.36","13","28","6","3","13","2","1","0","0%"
"Kyle Tyler","PHI","SP","35.7","28","2","2","4.57","1.42","18","37","14","4","32","0","0","0","0%"
"Carson Fulmer","PIT","SP,RP","26.9","23","1","1","4.55","1.45","14","26","14","3","14","2","-0","0","0%"
"Janson Junk","MIA","SP,RP","20.3","15","1","1","4.71","1.39","11","22","6","3","18","0","0","0","0%"
"Thaddeus Ward","BAL","SP","15.8","13","1","1","4.73","1.55","8","15","9","2","14","0","0","0","0%"
"Allan Winans","NYY","SP,RP","23.6","18","1","1","4.48","1.30","12","24","7","4","13","2","1","0","0%"
"Chad Kuhl","ATL","RP","7.7","6","0","0","5.34","1.56","5","8","4","1","4","0","0","0","0%"
"Lyon Richardson","CIN","SP,RP","14.4","13","1","1","4.64","1.48","7","14","7","2","10","1","0","0","0%"
"Alex Wood","","SP","51.0","42","3","4","4.71","1.41","27","53","19","7","12","9","4","0","0%"
"Kolby Allard","CLE","SP,RP","23.7","20","1","1","4.84","1.42","13","25","8","4","18","1","0","0","0%"
"Brandon Bielak","ARI","RP","13.0","9","0","1","5.00","1.52","7","14","5","2","6","1","0","0","0%"
"Kenny Rosenberg","","SP","23.6","19","1","1","5.10","1.45","13","24","10","5","6","1","0","0","0%"
"Paolo Espino","","SP","5.6","3","0","0","6.52","1.60","4","7","2","1","2","1","0","0","0%"
"Sixto Sanchez","","SP,RP","22.8","14","1","1","4.06","1.33","10","24","7","2","6","5","2","0","0%"
"Christian Roa","MIA","RP","14.0","14","1","1","4.58","1.56","7","14","8","2","10","0","0","0","0%"
"Matt Sauer","LAD","RP","22.0","18","1","1","4.74","1.39","12","22","9","3","21","0","0","0","0%"
"Jake Woodford","COL","SP","17.7","13","1","1","5.04","1.49","10","20","6","3","11","2","1","0","0%"
"James Kaprielian","","SP","12.1","9","1","1","5.60","1.52","8","13","6","2","3","2","1","0","0%"
"Noah Davis","BOS","RP","6.9","5","0","0","5.78","1.60","4","8","3","1","2","1","0","0","0%"
"Michael Mercado","PHI","SP,RP","31.1","27","2","2","4.88","1.44","17","31","14","5","26","0","0","0","0%"
"Ken Waldichuk","ATH","SP,RP","29.3","30","1","2","4.98","1.42","16","28","13","5","6","6","2","0","0%"
"Noah Murdock","ATH","RP","45.5","39","2","2","4.53","1.51","23","43","26","5","43","0","0","0","0%"
"Darren McCaughan","MIN","SP,RP","23.5","18","1","1","5.42","1.45","14","26","8","5","6","5","2","0","0%"
"Roddery Munoz","STL","SP","29.4","25","1","2","4.96","1.45","16","29","14","5","20","2","1","0","0%"
"Jared Shuster","CWS","RP","54.1","41","2","3","4.69","1.41","28","55","22","8","39","2","1","0","0%"
"Bradley Blalock","COL","SP","37.3","27","1","2","5.37","1.52","22","41","16","6","23","4","1","0","0%"
"Owen White","CWS","SP,RP","14.6","11","0","1","5.05","1.48","8","15","6","2","13","0","0","0","0%"
"Patrick Corbin","","SP","82.7","64","4","6","5.03","1.46","46","93","27","13","15","15","6","0","0%"
"Victor Mederos","LAA","SP","23.7","18","1","2","5.05","1.52","13","25","11","3","21","0","0","0","0%"
"Seth Johnson","PHI","SP","18.8","16","1","1","5.10","1.53","11","19","9","3","16","1","0","0","0%"
"Joan Adon","WSH","SP,RP","19.3","15","1","1","5.55","1.59","12","20","10","3","12","1","-0","0","0%"
"Kai-Wei Teng","SF","SP,RP","16.1","14","1","1","5.33","1.61","10","17","9","2","10","0","0","0","0%"
"Tanner Gordon","COL","SP","35.6","26","1","2","5.24","1.43","21","41","10","6","25","2","1","0","0%"
"Adam Oller","","SP","34.0","28","1","3","5.51","1.53","21","36","16","6","12","3","1","0","0%"
"Kyle Muller","","RP","52.2","42","2","3","5.10","1.48","30","56","21","9","13","9","3","0","0%"
"Carlos Rodriguez","MIL","SP","26.0","24","1","2","4.40","1.31","13","24","10","4","13","3","1","0","0%"
"Ryan Webb","CLE","SP","20.5","18","1","1","4.20","1.38","10","20","8","3","20","0","0","0","0%"
"Patrick Monteverde","MIA","","32.4","24","2","2","4.80","1.40","17","34","11","5","23","2","1","0","0%"
"Braydon Fisher","TOR","RP","18.0","18","1","1","4.50","1.45","9","16","10","2","18","0","0","0","0%"
"Andry Lara","WSH","SP","22.1","16","1","1","4.65","1.39","11","23","8","3","22","0","0","0","0%"
"Cole Henry","WSH","SP,RP","44.9","38","2","3","4.91","1.44","25","43","22","7","42","0","0","0","0%"
"Connor Prielipp","MIN","SP","22.0","21","1","1","4.66","1.46","11","21","11","3","22","0","0","0","0%"
"Robinson Pina","MIA","SP","11.9","9","1","1","4.92","1.42","7","13","3","2","3","2","1","0","0%"
"Ryan Cusick","ATH","SP,RP","14.0","11","1","1","5.03","1.53","8","14","8","2","14","0","0","0","0%"
"Ryan Johnson","LAA","","12.0","11","0","0","5.25","1.42","7","12","5","2","12","0","0","0","0%"
""
""
